Run,Success,Time (s)
1,Yes,7.646
2,Yes,7.555
3,Yes,7.581
4,Yes,7.585
5,Yes,7.651
6,Yes,7.631
7,Yes,7.637
8,Yes,7.580
9,Yes,7.588
10,Yes,7.600
11,Yes,7.557
12,Yes,7.603
13,Yes,7.578
14,Yes,7.583
15,Yes,7.645
16,Yes,7.550
17,Yes,7.611
18,Yes,7.597
19,Yes,7.584
20,Yes,7.576
21,Yes,7.594
22,Yes,7.598
23,Yes,8.070
24,Yes,7.589
25,Yes,7.673
26,Yes,7.612
27,Yes,7.604
28,Yes,7.604
29,Yes,7.823
30,Yes,7.578
31,Yes,7.543
32,Yes,7.616
33,Yes,7.575
34,Yes,7.590
35,Yes,7.543
36,Yes,7.604
37,Yes,7.585
38,Yes,7.554
39,Yes,8.587
40,Yes,7.552
41,Yes,7.548
42,Yes,7.569
43,Yes,7.539
44,Yes,7.548
45,Yes,7.572
46,Yes,7.584
47,Yes,7.635
48,Yes,7.674
49,Yes,7.614
50,Yes,7.562
